"original_name","unique_id"
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Tautonia;","Seq_183"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;","Seq_184"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;","Seq_185"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;","Seq_186"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;","Seq_187"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;","Seq_188"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Mariniblastus;","Seq_189"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter;","Seq_190"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter;","Seq_191"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;","Seq_192"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;","Seq_193"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;","Seq_194"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum;","Seq_195"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter;","Seq_196"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter;","Seq_197"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Nitratifractor;","Seq_198"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurospirillaceae;Sulfurospirillum;","Seq_199"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurimonadaceae;Sulfurimonas;","Seq_200"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum;","Seq_201"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;","Seq_202"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurimonadaceae;Sulfurimonas;","Seq_203"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;","Seq_204"
"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;","Seq_205"
